IC_GROUP0;IC_GROUP1;IC_GROUP2;IE_NAME;IE_CODE;IE_PREVIEW_TEXT;IE_PREVIEW_PICTURE;IE_DETAIL_PICTURE
BoneTrust;абатменты;эстетические;160-155005 Hex Plus;160-155005-hex-plus;Абатмент эстетический 15°, ;_10_tif_82_645.jpg;_10_tif_82_645.jpg
BoneTrust;абатменты;эстетические;166-103440;166-103440;Абатмент эстетический;44.jpg;44.jpg
BoneTrust;абатменты;эстетические;260-205007 Cone Plus;260-205007-cone-plus;Абатмент Wide Body. Керамическая основа. ;106_69_1.png;106_69_1.png
BoneTrust;абатменты;эстетические;260-204007 Cone Plus;260-204007-cone-plus;Wide Body абатмент. Керамическая основа. ;106.png;106.png
BoneTrust;абатменты;эстетические;160-100010 Hex Plus;160-100010-hex-plus;Винт фиксирующий cтандартный, 10 шт.;28_86_928.jpg;28_86_928.jpg
BoneTrust;абатменты;эстетические;160-100004 Hex Plus;160-100004-hex-plus;Винт фиксирующий стандартный, 4 шт.;28_59_545.jpg;28_59_545.jpg
BoneTrust;абатменты;эстетические;160-100001 Hex Plus;160-100001-hex-plus;Винт фиксирующий стандартный;28.jpg;28.jpg
BoneTrust;абатменты;эстетические;160-203407 Hex Plus;160-203407-hex-plus;Абатмент эстетический 20°, ;kartinka_11.jpg;kartinka_11.jpg
BoneTrust;абатменты;эстетические;160-155025 Hex Plus;160-155025-hex-plus;Абатмент эстетический 15°, ;_10_tif_96_381.jpg;_10_tif_96_381.jpg
BoneTrust;абатменты;эстетические;160-154025 Hex Plus;160-154025-hex-plus;Абатмент эстетический 15°, ;_10_tif_82_406.jpg;_10_tif_82_406.jpg
BoneTrust;абатменты;эстетические;160-154005 Hex Plus;160-154005-hex-plus;Абатмент эстетический 15°, ;_10_tif_67_129.jpg;_10_tif_67_129.jpg
BoneTrust;абатменты;эстетические;160-153425 Hex Plus;160-153425-hex-plus;Абатмент эстетический 15°, ;_10_tif_31_802.jpg;_10_tif_31_802.jpg
BoneTrust;абатменты;эстетические;160-153405 Hex Plus;160-153405-hex-plus;Абатмент эстетический 15°, ;_10_tif_10_595.jpg;_10_tif_10_595.jpg
BoneTrust;абатменты;эстетические;160-153005 Hex Plus;160-153005-hex-plus;Абатмент эстетический 15°, ;_10_tif.jpg;_10_tif.jpg
BoneTrust;абатменты;эстетические;160-005025 Hex Plus;160-005025-hex-plus;Абатмент эстетический 0°, ;_8_tif_65_211.jpg;_8_tif_65_211.jpg
